ALBUM_ID,ALBUM_NAME,ARTISTS,OVRD_ART_FILE
1,NCS: The Best of 2016,,/ARTWORK/ncs-best-of-2016.webp
2,Wake Up the Wicked,Powerwolf,/ARTWORK/powerwolf--wake-up-the-wicked.webp
